start,end,file,Lithobates palustris_Pickerel Frog,Melospiza melodia_Song Sparrow,Aix sponsa_Wood Duck,Turdus migratorius_American Robin,Sayornis phoebe_Eastern Phoebe,Sitta carolinensis_White-breasted Nuthatch,Botaurus lentiginosus_American Bittern,Poecile atricapillus_Black-capped Chickadee,Catharus guttatus_Hermit Thrush,Megaceryle alcyon_Belted Kingfisher,Regulus satrapa_Golden-crowned Kinglet,Zonotrichia leucophrys_White-crowned Sparrow,Anas platyrhynchos_Mallard,Anas crecca_Green-winged Teal,Mareca strepera_Gadwall,Dryobates villosus_Hairy Woodpecker,Strix varia_Barred Owl,Haliaeetus leucocephalus_Bald Eagle,Certhia americana_Brown Creeper,Cyanocitta cristata_Blue Jay,Sialia sialis_Eastern Bluebird,Haemorhous purpureus_Purple Finch,Buteo platypterus_Broad-winged Hawk,Baeolophus bicolor_Tufted Titmouse,Quiscalus quiscula_Common Grackle,Spinus pinus_Pine Siskin,Sitta canadensis_Red-breasted Nuthatch,Setophaga coronata_Yellow-rumped Warbler,Junco hyemalis_Dark-eyed Junco
36.0,39.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240410_065500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240331_163100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240412_231000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240413_191100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240413_195400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240416_231900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240409_194700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240408_230300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240409_190200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240414_193200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240403_144800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240411_163900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240407_140400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240401_155600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240412_061300.WAV,,,0.4733016788959503,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240412_061300.WAV,,,0.9666951298713684,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20240412_061300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20240408_164500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20240408_164500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20240408_164500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20240408_164500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20240408_164500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20240408_164500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
